,Unnamed: 0,Accuracy,VariablesUsed,RandomStateUsed
109,,0.6966666666666667,"['contains_social_media_links', 'url_contains_email', 'url_contains_phone_number', 'BBBRatingScore', 'IsHQ', 'IsCharity', 'contains_contacts_page', 'contains_business_name_in_copyright']",109
110,,0.685,"['contains_zipCode', 'IsCharity', 'contains_business_name_in_copyright', 'contains_social_media_links', 'contains_contacts_page']",110
111,,0.665,"['IsBBBAccredited', 'contains_reviews_page', 'url_contains_email', 'contains_zipCode', 'url_contains_phone_number', 'BBBRatingScore', 'contains_contacts_page', 'contains_business_name_in_copyright', 'contains_social_media_links']",111
112,,0.6616666666666666,"['IsBBBAccredited', 'contains_business_name', 'contains_business_name_in_copyright', 'contains_social_media_links', 'IsHQ', 'url_contains_email', 'contains_reviews_page', 'IsCharity', 'contains_contacts_page', 'contains_zipCode', 'url_contains_phone_number', 'BBBRatingScore']",112
113,,0.6833333333333333,"['contains_reviews_page', 'contains_contacts_page', 'BBBRatingScore', 'IsCharity', 'contains_zipCode', 'contains_business_name', 'url_contains_phone_number', 'contains_social_media_links', 'url_contains_email', 'IsBBBAccredited']",113
114,,0.7016666666666667,"['contains_business_name_in_copyright', 'BBBRatingScore', 'IsBBBAccredited', 'contains_social_media_links', 'contains_contacts_page', 'contains_zipCode', 'contains_reviews_page', 'IsCharity']",114
115,,0.695,"['contains_reviews_page', 'IsBBBAccredited', 'url_contains_phone_number', 'contains_social_media_links', 'IsHQ', 'contains_business_name', 'contains_zipCode', 'IsCharity', 'url_contains_email', 'contains_contacts_page', 'BBBRatingScore', 'contains_business_name_in_copyright']",115
116,,0.6816666666666666,"['contains_social_media_links', 'url_contains_phone_number', 'IsHQ']",116
117,,0.6733333333333333,"['contains_social_media_links', 'contains_reviews_page', 'BBBRatingScore', 'IsHQ', 'url_contains_email', 'url_contains_phone_number', 'contains_contacts_page', 'IsCharity', 'contains_business_name_in_copyright', 'IsBBBAccredited']",117
118,,0.655,"['IsCharity', 'IsHQ', 'url_contains_phone_number', 'contains_contacts_page', 'contains_reviews_page', 'contains_zipCode', 'contains_business_name_in_copyright', 'BBBRatingScore', 'contains_business_name', 'url_contains_email', 'contains_social_media_links']",118
119,,0.6833333333333333,"['contains_social_media_links', 'BBBRatingScore', 'contains_business_name_in_copyright']",119
120,,0.6683333333333333,"['IsHQ', 'url_contains_phone_number', 'IsBBBAccredited', 'contains_social_media_links', 'contains_business_name', 'url_contains_email', 'contains_contacts_page', 'contains_business_name_in_copyright', 'BBBRatingScore', 'contains_zipCode', 'IsCharity', 'contains_reviews_page']",120
121,,0.67,"['url_contains_phone_number', 'IsBBBAccredited', 'BBBRatingScore', 'contains_reviews_page', 'url_contains_email', 'contains_zipCode', 'IsHQ', 'contains_business_name']",121
122,,0.67,"['contains_contacts_page', 'contains_social_media_links', 'IsCharity', 'contains_business_name', 'url_contains_email', 'contains_reviews_page', 'IsBBBAccredited', 'BBBRatingScore', 'IsHQ', 'contains_business_name_in_copyright', 'url_contains_phone_number', 'contains_zipCode']",122
123,,0.685,"['IsCharity', 'contains_zipCode', 'contains_reviews_page', 'BBBRatingScore', 'IsHQ', 'contains_business_name', 'contains_contacts_page', 'contains_social_media_links', 'contains_business_name_in_copyright']",123
124,,0.6733333333333333,"['url_contains_phone_number', 'IsBBBAccredited', 'IsCharity', 'url_contains_email', 'contains_business_name_in_copyright']",124
125,,0.7,"['contains_reviews_page', 'IsCharity', 'url_contains_phone_number', 'contains_contacts_page', 'contains_business_name_in_copyright', 'contains_zipCode']",125
126,,0.6966666666666667,"['contains_business_name_in_copyright', 'IsBBBAccredited']",126
127,,0.66,"['IsBBBAccredited', 'contains_zipCode', 'IsCharity', 'contains_social_media_links']",127
128,,0.6866666666666666,"['contains_contacts_page', 'url_contains_email', 'contains_business_name_in_copyright', 'contains_zipCode', 'IsHQ']",128
129,,0.685,"['contains_business_name', 'contains_social_media_links', 'BBBRatingScore', 'url_contains_email', 'IsBBBAccredited', 'contains_zipCode', 'url_contains_phone_number', 'IsCharity']",129
130,,0.65,"['IsBBBAccredited', 'contains_social_media_links', 'BBBRatingScore', 'IsHQ', 'contains_contacts_page', 'url_contains_phone_number']",130
