,Variables,Random_State,R_2_Train,R_2_Test,Mean_Squared_Error,Mean_Absolute_Error
46,contains_business_name_in_copyright,46,0.0,-3.936732337184168e-05,0.21675204050567817,0.4332898156395271
47,contains_business_name_in_copyright,47,0.0,-3.936732337184168e-05,0.21675204050567817,0.4332898156395271
48,contains_business_name_in_copyright,48,0.0,-0.00038394777797656765,0.21675507002300723,0.4328336776268059
49,contains_business_name_in_copyright,49,0.0,-0.0015510366316839885,0.2167654810050918,0.4321494706077242
0,contains_social_media_links,0,0.0077487088480221455,-0.0025636650554423657,0.21549058829791987,0.42936476484531433
1,contains_social_media_links,1,0.0047629973730132225,0.009511727899126132,0.2154779909890039,0.4322090657666128
2,contains_social_media_links,2,0.008473201100847594,-0.005103709617762409,0.215502894390352,0.430104003629897
3,contains_social_media_links,3,0.006654616791116896,0.0010723534447616423,0.2154834147233452,0.4289920693385584
4,contains_social_media_links,4,0.005336040524474672,0.0062878623718393145,0.21547751408364307,0.43259848411600754
5,contains_social_media_links,5,0.005558294766211502,-0.003267805174602012,0.21555017737635,0.434506331377015
6,contains_social_media_links,6,0.004577533213088958,0.00969823959493099,0.21548609358701476,0.43244005759474025
7,contains_social_media_links,7,0.005101954229295713,0.009307511529569434,0.21546347921749168,0.4311435966912246
8,contains_social_media_links,8,0.005406837589287505,0.007143949793194326,0.21546620476801578,0.4320328520633192
9,contains_social_media_links,9,0.0046979822862111,0.010699668354572811,0.2154725094051309,0.4313482153043118
10,contains_social_media_links,10,0.0042330032234141335,0.010342774585050618,0.21550797980459807,0.4297416850082051
11,contains_social_media_links,11,0.007748708848022257,-0.0025636650554423657,0.21549058829791987,0.42936476484531433
12,contains_social_media_links,12,0.002886917528223676,0.013706273380910683,0.21559051484819314,0.43044970310055686
13,contains_social_media_links,13,0.00555851602784152,0.002109657489558159,0.21549866619429822,0.4333403771271414
14,contains_social_media_links,14,0.008366087880631201,-0.00480851155182882,0.21550328963843263,0.4296604483775534
15,contains_social_media_links,15,0.006919680909935444,0.00204013429347627,0.21546341789970408,0.4307170038585069
16,contains_social_media_links,16,0.004465154109605574,0.010894417431304038,0.21548421519867395,0.43208894220784133
17,contains_social_media_links,17,0.004695314166294651,0.010209712169274687,0.21547849662674481,0.43033818416587843
18,contains_social_media_links,18,0.005301908203918071,0.008230685344772892,0.2154625483524014,0.43163649944991983
19,contains_social_media_links,19,0.005095543005452119,0.006454401552883127,0.2154892627774411,0.4329752287084818
20,contains_social_media_links,20,0.006154637998000978,0.0011819145151443777,0.21549696774766092,0.43318735791256036
21,contains_social_media_links,21,0.005224347730595658,0.007311973972913832,0.21547178613027848,0.42995552535068055
22,contains_social_media_links,22,0.007805023794423049,-0.001935494325624454,0.21548270433612618,0.43027868468981245
23,contains_social_media_links,23,0.0067967280910851136,-0.011898013755695214,0.21558868698359482,0.426630263465871
24,contains_social_media_links,24,0.006449136895305796,0.003382982889674313,0.21546489289871854,0.429838314407837
25,contains_social_media_links,25,0.012197746480927973,-0.02730589341477918,0.2157354153736961,0.42727774143481984
26,contains_social_media_links,26,0.008318580732085357,-0.013175837915825772,0.21556047725860267,0.43321314592466864
27,contains_social_media_links,27,0.0025574363498572783,-0.0013629105917838391,0.2157598773308878,0.4274869209043627
