,Variables,Random_State,R_2_Train,R_2_Test,Mean_Squared_Log_Error
26,contains_social_media_links,26,-0.4833024118738405,-0.39860139860139854,0.15262014199002397
27,contains_social_media_links,27,-0.4392439243924393,-0.5810276679841899,0.15262014199002397
28,contains_social_media_links,28,-0.46831955922865,-0.4545454545454546,0.15262014199002397
29,contains_social_media_links,29,-0.44705882352941173,-0.5444015444015442,0.15262014199002397
30,contains_social_media_links,30,-0.449682683590209,-0.532567049808429,0.15262014199002397
31,contains_social_media_links,31,-0.46697247706422007,-0.45985401459854014,0.15262014199002397
32,contains_social_media_links,32,-0.4642857142857142,-0.47058823529411775,0.15262014199002397
33,contains_social_media_links,33,-0.4805555555555556,-0.4084507042253518,0.15262014199002397
34,contains_social_media_links,34,-0.47781885397412194,-0.4184397163120568,0.15262014199002397
35,contains_social_media_links,35,-0.4431407942238268,-0.5625,0.15262014199002397
36,contains_social_media_links,36,-0.47918593894542116,-0.4134275618374563,0.15262014199002397
37,contains_social_media_links,37,-0.47373271889400903,-0.4336917562724012,0.15262014199002397
38,contains_social_media_links,38,-0.46831955922865,-0.4545454545454546,0.15262014199002397
39,contains_social_media_links,39,-0.44575045207956543,-0.5503875968992247,0.15262014199002397
40,contains_social_media_links,40,-0.48055555555555585,-0.408450704225352,0.15262014199002397
41,contains_social_media_links,41,-0.46160877513711207,-0.48148148148148207,0.15262014199002397
42,contains_social_media_links,42,-0.46294602012808816,-0.47601476014760125,0.15262014199002397
43,contains_social_media_links,43,-0.5,-0.34228187919463093,0.15262014199002397
44,contains_social_media_links,44,-0.4642857142857142,-0.47058823529411753,0.15262014199002397
45,contains_social_media_links,45,-0.47509225092250906,-0.4285714285714288,0.15262014199002397
46,contains_social_media_links,46,-0.4642857142857142,-0.47058823529411775,0.15262014199002397
47,contains_social_media_links,47,-0.4642857142857142,-0.47058823529411775,0.15262014199002397
48,contains_social_media_links,48,-0.46160877513711207,-0.48148148148148207,0.15262014199002397
49,contains_social_media_links,49,-0.45761166818596166,-0.4981273408239699,0.15262014199002397
0,contains_reviews_page,0,-0.458941605839416,-0.4925373134328359,0.15262014199002397
1,contains_reviews_page,1,-0.47237569060773477,-0.4388489208633095,0.15262014199002397
2,contains_reviews_page,2,-0.4629460201280877,-0.4760147601476017,0.15262014199002397
3,contains_reviews_page,3,-0.45628415300546443,-0.5037593984962403,0.15262014199002397
4,contains_reviews_page,4,-0.47509225092250906,-0.4285714285714286,0.15262014199002397
5,contains_reviews_page,5,-0.4860594795539033,-0.38888888888888906,0.15262014199002397
6,contains_reviews_page,6,-0.47373271889400903,-0.4336917562724012,0.15262014199002397
7,contains_reviews_page,7,-0.4656278643446381,-0.4652014652014651,0.15262014199002397
8,contains_reviews_page,8,-0.47237569060773477,-0.4388489208633095,0.15262014199002397
9,contains_reviews_page,9,-0.46697247706422007,-0.45985401459854014,0.15262014199002397
10,contains_reviews_page,10,-0.45761166818596166,-0.4981273408239699,0.15262014199002397
11,contains_reviews_page,11,-0.4589416058394158,-0.4925373134328359,0.15262014199002397
12,contains_reviews_page,12,-0.45761166818596166,-0.4981273408239699,0.15262014199002397
13,contains_reviews_page,13,-0.48055555555555585,-0.408450704225352,0.15262014199002397
14,contains_reviews_page,14,-0.46160877513711207,-0.48148148148148207,0.15262014199002397
